surname,first_name,password,id_number,first_appearance,URL
Simpson,Marge,6MgR6xww,C00001001,1,https://simpsonswiki.com/wiki/Marge_Simpson
Simpson,Homer,6MgR6xww,C00001002,1,https://simpsonswiki.com/wiki/Homer_Simpson
Simpson,Maggie,6MgR6xww,C00001003,1,https://simpsonswiki.com/wiki/Maggie_Simpson
Skinner,Seymour,6MgR6xww,C00001004,1,https://simpsonswiki.com/wiki/Seymour_Skinner
Kinkie,Dewey,6MgR6xww,C00001005,1,https://simpsonswiki.com/wiki/Dewey_Largo
Simpson,Lisa,6MgR6xww,C00001006,1,https://simpsonswiki.com/wiki/Lisa_Simpson
Simpson,Bart,6MgR6xww,C00001007,1,https://simpsonswiki.com/wiki/Bart_Simpson
Van Houten,Milhouse,6MgR6xww,C00001008,1,https://simpsonswiki.com/wiki/Milhouse_Van_Houten
Wiggum,Ralph,6MgR6xww,C00001009,1,https://simpsonswiki.com/wiki/Ralph_Wiggum
Mackleberry,Sherri,6MgR6xww,C00001010,1,https://simpsonswiki.com/wiki/Sherri_Mackleberry
Mackleberry,Terri,6MgR6xww,C00001011,1,https://simpsonswiki.com/wiki/Terri_Mackleberry
Bouvier,Patty,6MgR6xww,C00001012,1,https://simpsonswiki.com/wiki/Patty_Bouvier
Flanders,Ned,6MgR6xww,C00001013,1,https://simpsonswiki.com/wiki/Ned_Flanders
Flanders,Todd,6MgR6xww,C00001014,1,https://simpsonswiki.com/wiki/Todd_Flanders
Smithers,Waylon,6MgR6xww,C00001015,1,https://simpsonswiki.com/wiki/Waylon_Smithers
Burns,Charles,6MgR6xww,C00001016,1,https://simpsonswiki.com/wiki/Charles_Montgomery_Burns
Monroe,Mervin,6MgR6xww,C00001017,1,https://simpsonswiki.com/wiki/Mervin_Monroe
Szyslak,Moe,6MgR6xww,C00001018,1,https://simpsonswiki.com/wiki/Moe_Szyslak
Gumble,Barney,6MgR6xww,C00001019,1,https://simpsonswiki.com/wiki/Barney_Gumble
Bouvier,Selma,6MgR6xww,C00001020,1,https://simpsonswiki.com/wiki/Selma_Bouvier
Clark,Lewis,6MgR6xww,C00001021,1,https://simpsonswiki.com/wiki/Lewis_Clark
Simpson,Abraham,6MgR6xww,C00001022,1,https://simpsonswiki.com/wiki/Abraham_Simpson
Prince,Martin,6MgR6xww,C00001023,2,https://simpsonswiki.com/wiki/Martin_Prince
Krapabbel,Edna,6MgR6xww,C00001024,2,https://simpsonswiki.com/wiki/Edna_Krabappel
Pryor,J. Loren,6MgR6xww,C00001025,2,https://simpsonswiki.com/wiki/J._Loren_Pryor
Prince,Gareth,6MgR6xww,C00001026,2,https://simpsonswiki.com/wiki/Gareth_Prince
Prince,Gloria,6MgR6xww,C00001027,2,https://simpsonswiki.com/wiki/Gloria_Prince
Mann,Otto,6MgR6xww,C00001028,3,https://simpsonswiki.com/wiki/Otto_Mann
Borton,Wendell,6MgR6xww,C00001029,3,https://simpsonswiki.com/wiki/Wendell_Borton
